"x","y","orientation","v","w"
0.0243112,2.89449e-05,,,
0.0246593,2.63699e-05,,,
0.0234185,1.03807e-05,,,
0.0228469,1.49908e-05,,,
0.023502,9.63007e-06,,,
0.0241292,1.64726e-05,,,
0.022914,1.44211e-05,,,
0.0242205,3.33337e-05,,,
0.0234717,2.23643e-05,,,
0.0236965,1.57618e-05,,,
0.0237141,1.65919e-05,,,
0.0228029,2.60363e-05,,,
0.022256,2.24954e-05,,,
0.0233032,3.04645e-05,,,
0.0238771,1.84094e-05,,,
0.0242098,2.59086e-05,,,
0.0222777,2.80605e-05,,,
0.0233475,1.36361e-05,,,
0.0246471,2.7639e-05,,,
0.0236803,2.84679e-05,,,
0.0236539,3.07941e-05,,,
0.0237229,3.03547e-05,,,
0.024003,2.64016e-05,,,
0.0240669,8.12613e-06,,,
0.0238318,8.04909e-06,,,
0.0239007,2.50736e-05,,,
0.0246538,2.60253e-06,,,
0.0239545,2.23965e-05,,,
0.0233923,2.61294e-05,,,
0.0236585,2.99571e-05,,,
0.0245907,2.15984e-05,,,
0.0245937,2.537e-05,,,
0.0240639,1.56452e-05,,,
0.0246799,2.01395e-05,,,
0.0240028,3.45753e-05,,,
0.0240076,3.31361e-05,,,
0.0240453,2.45592e-05,,,
0.0245866,1.7935e-05,,,
0.0245566,2.77472e-05,,,
0.0226545,9.44813e-06,,,
0.0233329,3.1577e-05,,,
0.023756,1.60988e-05,,,
0.0240705,7.91982e-06,,,
0.0226863,3.19032e-05,,,
0.0243245,2.94138e-05,,,
0.022521,2.72206e-05,,,
0.024245,6.26198e-06,,,
0.0236226,6.41847e-06,,,
0.0242684,1.89365e-05,,,
0.0239335,3.23802e-05,,,
0.0236804,2.76396e-05,,,
0.0226439,7.90959e-06,,,
0.024347,2.98449e-05,,,
0.0243049,3.94066e-06,,,
0.0245485,1.15202e-05,,,
0.024211,2.59089e-05,,,
0.022926,2.1564e-05,,,
0.0227082,2.73843e-05,,,
0.0240185,2.51413e-05,,,
0.0240778,2.49623e-05,,,
0.0238212,1.31171e-06,,,
0.0234383,3.06423e-05,,,
0.0235163,7.648e-07,,,
0.0238412,3.23532e-05,,,
0.0244882,2.46332e-05,,,
0.0242433,2.98215e-05,,,
0.0239275,2.884e-06,,,
0.0241223,2.35101e-05,,,
0.024669,1.70743e-05,,,
0.0230904,-516.108,,,
0.0237997,2.03014e-05,,,
0.0239939,7.9751e-06,,,
0.0238719,3.00581e-05,,,
0.0246345,3.48725e-05,,,
0.0237884,2.63911e-05,,,
0.0231,2.93688e-05,,,
0.024669,2.41761e-05,,,
0.0237678,3.25234e-05,,,
0.0240802,1.97285e-05,,,
0.024369,1.0956e-05,,,
0.023983,2.76373e-05,,,
0.0244618,1.90381e-05,,,
0.0245411,2.47881e-05,,,
0.0241433,3.26985e-05,,,
0.02223,1.73964e-05,,,
0.024401,1.54687e-05,,,
0.0236266,2.5772e-05,,,
0.0234368,3.30936e-05,,,
0.0232375,2.98693e-05,,,
0.0243879,2.51574e-05,,,
0.0245944,3.17682e-05,,,
0.0237661,2.43199e-05,,,
0.024576,3.25823e-05,,,
0.024247,9.34431e-06,,,
0.0245918,1.01223e-05,,,
0.024528,1.13096e-05,,,
0.0232436,2.07273e-05,,,
0.0240882,3.09274e-05,,,
0.0243624,1.90389e-05,,,
